Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
4/7,0.03 ,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,0.00 ,0.03 ,-0.01 ,0.01 ,0.00 ,0.00 ,0.05 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.06 ,0.00 ,-0.02 ,-0.01 
4/14,0.02 ,0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.02 ,-0.02 ,0.00 ,0.00 ,0.01 ,0.00 ,-0.02 ,0.00 ,-0.01 ,-0.02 ,-0.03 ,0.01 ,0.00 ,0.00 ,0.01 ,0.01 ,-0.01 ,-0.01 ,-0.01 
4/21,-0.02 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,-0.02 ,-0.04 ,0.01 ,0.02 ,0.00 ,0.00 ,-0.01 ,-0.01 ,-0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.01 ,-0.01 
4/28,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.02 ,-0.02 ,-0.07 ,0.02 ,-0.02 ,-0.01 ,0.00 ,0.00 
5/12,-0.05 ,0.00 ,-0.02 ,-0.03 ,0.03 ,-0.03 ,-0.01 ,0.00 ,0.00 ,-0.09 ,0.00 ,0.00 ,-0.03 ,0.03 ,-0.01 ,-0.04 ,-0.04 ,0.00 ,-0.02 ,-0.01 ,0.03 ,-0.03 ,-0.01 ,0.00 ,0.00 
5/19,-0.04 ,-0.03 ,-0.03 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.11 ,0.00 ,-0.05 ,-0.01 ,-0.04 ,-0.03 ,0.00 ,-0.07 ,-0.04 ,-0.14 ,-0.05 ,0.00 ,-0.11 ,-0.01 ,-0.04 ,-0.03 ,-0.04 ,-0.06 
5/26,-0.05 ,-0.03 ,-0.03 ,0.00 ,0.01 ,0.00 ,0.00 ,-0.04 ,0.00 ,-0.04 ,-0.02 ,0.00 ,0.00 ,-0.04 ,0.03 ,-0.03 ,-0.21 ,-0.03 ,-0.04 ,-0.12 ,0.00 ,-0.03 ,-0.02 ,-0.02 ,0.00 
6/2,0.00 ,-0.05 ,-0.02 ,-0.06 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.04 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.01 ,-0.02 ,-0.05 ,0.00 ,-0.01 ,-0.01 ,-0.03 ,-0.02 
6/9,0.00 ,0.00 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,-0.02 ,0.00 ,-0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.01 ,-0.02 ,-0.03 
6/16,-0.01 ,-0.02 ,0.00 ,-0.02 ,-0.02 ,0.00 ,-0.01 ,-0.02 ,0.00 ,-0.02 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.02 ,-0.02 ,-0.03 
6/23,0.03 ,0.00 ,0.00 ,0.00 ,-0.02 ,0.00 ,-0.01 ,-0.01 ,0.02 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.01 ,-0.12 ,0.00 ,0.00 ,0.00 ,-0.02 ,0.03 ,0.00 ,-0.01 ,-0.05 
6/30,0.00 ,0.00 ,0.01 ,-0.03 ,0.00 ,-0.01 ,0.00 ,-0.01 ,0.01 ,-0.02 ,-0.01 ,0.00 ,-0.01 ,0.00 ,0.03 ,0.02 ,-0.01 ,0.00 ,-0.07 ,0.00 ,0.00 ,0.04 ,-0.01 ,0.00 ,-0.01 
7/7,0.04 ,0.00 ,0.00 ,-0.02 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.03 ,-0.02 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.01 ,0.04 ,-0.03 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.02 
7/14,0.00 ,-0.02 ,0.02 ,-0.01 ,0.00 ,-0.01 ,-0.04 ,-0.03 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.01 ,0.00 ,0.01 
7/21,0.00 ,0.00 ,0.01 ,-0.02 ,-0.01 ,0.00 ,-0.01 ,-0.03 ,0.01 ,-0.03 ,0.00 ,0.03 ,-0.07 ,0.01 ,0.01 ,0.00 ,-0.04 ,0.01 ,-0.05 ,0.00 ,0.01 ,0.03 ,0.01 ,-0.01 ,0.05 
7/28,0.01 ,-0.03 ,0.00 ,0.00 ,-0.03 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.01 ,0.06 ,0.02 ,-0.15 ,-0.02 ,-0.07 ,0.00 ,0.00 ,0.07 ,0.00 ,-0.02 ,0.00 
8/4,0.00 ,0.00 ,0.00 ,-0.04 ,0.00 ,-0.01 ,0.02 ,-0.04 ,0.03 ,0.00 ,0.00 ,-0.05 ,-0.03 ,-0.03 ,0.14 ,0.01 ,-0.10 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.20 ,0.01 ,-0.04 ,0.01 
8/11,0.01 ,0.03 ,0.01 ,0.00 ,-0.01 ,0.01 ,0.00 ,0.02 ,0.05 ,-0.05 ,0.01 ,0.00 ,0.00 ,-0.03 ,0.09 ,0.07 ,-0.11 ,0.02 ,0.00 ,-0.02 ,0.04 ,0.16 ,0.03 ,-0.01 ,0.02 
8/18,0.00 ,0.04 ,0.09 ,0.00 ,0.01 ,0.09 ,0.03 ,0.02 ,0.03 ,-0.06 ,0.04 ,0.00 ,0.07 ,0.00 ,0.17 ,0.06 ,-0.01 ,0.10 ,0.06 ,0.00 ,0.00 ,0.08 ,0.05 ,0.00 ,0.06 
8/25,0.05 ,0.03 ,0.11 ,0.01 ,0.11 ,0.06 ,0.07 ,0.04 ,0.06 ,-0.02 ,0.02 ,0.00 ,0.04 ,-0.06 ,0.19 ,0.11 ,0.00 ,0.03 ,0.01 ,0.04 ,0.00 ,0.10 ,0.07 ,0.01 ,0.00 
9/1,0.02 ,0.03 ,0.01 ,0.02 ,0.03 ,0.05 ,0.03 ,0.07 ,0.02 ,-0.03 ,0.05 ,0.03 ,0.02 ,0.00 ,0.20 ,0.16 ,0.00 ,0.03 ,0.01 ,0.00 ,0.03 ,0.06 ,0.08 ,0.05 ,0.04 
9/15,0.05 ,0.18 ,0.19 ,0.04 ,0.00 ,0.16 ,0.15 ,0.09 ,0.02 ,0.00 ,0.10 ,0.00 ,0.10 ,0.00 ,0.34 ,0.22 ,0.00 ,0.04 ,0.06 ,0.02 ,0.08 ,0.27 ,0.22 ,0.48 ,0.04 
9/22,0.03 ,0.05 ,0.12 ,0.08 ,0.04 ,0.07 ,0.00 ,0.00 ,0.04 ,0.05 ,0.01 ,0.00 ,0.10 ,0.05 ,0.17 ,0.14 ,0.10 ,0.08 ,0.02 ,0.19 ,0.03 ,0.27 ,0.18 ,0.17 ,0.08 
9/29,0.03 ,0.04 ,0.05 ,0.10 ,0.10 ,0.11 ,0.07 ,0.00 ,0.01 ,0.05 ,0.04 ,0.00 ,0.04 ,0.04 ,0.06 ,0.10 ,0.04 ,0.01 ,0.15 ,0.11 ,0.03 ,0.22 ,0.06 ,0.19 ,0.06 
10/6,0.02 ,0.01 ,0.15 ,0.04 ,0.04 ,0.06 ,0.05 ,0.00 ,0.03 ,0.03 ,0.00 ,0.02 ,0.07 ,0.01 ,0.06 ,0.10 ,0.00 ,0.00 ,0.00 ,0.02 ,0.12 ,0.15 ,0.04 ,0.17 ,0.01 
10/13,0.02 ,0.21 ,0.06 ,0.08 ,0.01 ,0.00 ,0.04 ,0.00 ,0.07 ,0.00 ,0.04 ,0.00 ,0.10 ,0.01 ,0.07 ,0.03 ,0.01 ,0.00 ,0.00 ,0.15 ,0.06 ,0.09 ,0.07 ,0.05 ,0.07 
10/20,0.04 ,0.02 ,0.05 ,0.01 ,0.00 ,0.09 ,0.02 ,0.02 ,0.07 ,0.00 ,0.12 ,0.00 ,0.01 ,0.02 ,0.03 ,0.00 ,0.04 ,0.06 ,0.04 ,0.03 ,0.09 ,0.13 ,0.05 ,0.03 ,0.04 
10/27,0.00 ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.06 ,0.00 ,0.01 ,0.01 ,0.01 ,0.05 ,0.03 ,0.00 ,0.00 ,0.02 ,0.01 ,0.00 ,0.00 ,0.13 ,0.04 ,0.02 ,-0.01 ,0.04 ,0.01 
11/3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.04 ,0.06 ,0.02 ,0.03 ,0.04 ,0.05 ,0.00 ,0.01 ,-0.02 ,0.01 ,0.05 ,0.00 ,0.00 ,0.03 ,0.04 ,0.01 ,-0.01 ,0.08 ,0.01 
11/10,0.00 ,0.03 ,0.04 ,0.02 ,0.00 ,0.04 ,0.06 ,0.04 ,0.05 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,-0.01 ,-0.01 ,0.02 ,0.00 ,0.03 ,0.21 ,0.03 ,0.00 ,0.00 ,0.01 ,0.04 
11/17,0.02 ,0.03 ,0.06 ,0.02 ,0.03 ,0.01 ,0.06 ,0.00 ,0.00 ,0.02 ,0.05 ,0.00 ,0.00 ,0.00 ,-0.02 ,-0.01 ,0.02 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,-0.01 ,0.02 ,0.01 
11/24,0.02 ,0.05 ,0.01 ,0.01 ,0.01 ,0.00 ,0.02 ,0.07 ,0.01 ,-0.02 ,0.06 ,0.03 ,0.00 ,-0.10 ,-0.02 ,-0.01 ,0.00 ,-0.02 ,-0.04 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 
12/1,-0.01 ,0.02 ,0.03 ,0.00 ,0.00 ,0.05 ,-0.02 ,0.01 ,0.00 ,-0.01 ,0.06 ,0.17 ,-0.02 ,-0.03 ,-0.01 ,-0.02 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.03 ,0.00 
12/8,-0.01 ,0.00 ,0.01 ,0.00 ,0.00 ,0.01 ,0.00 ,0.08 ,0.02 ,0.00 ,0.02 ,0.00 ,-0.02 ,0.00 ,-0.01 ,-0.04 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.02 ,-0.02 ,-0.01 ,0.02 ,-0.01 
12/15,0.00 ,0.00 ,0.01 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.01 ,-0.02 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.01 ,0.01 ,0.00 
12/22,0.00 ,0.00 ,0.05 ,0.02 ,0.00 ,0.02 ,0.00 ,0.03 ,0.05 ,0.00 ,0.00 ,0.04 ,-0.01 ,0.00 ,-0.01 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.01 ,0.00 ,0.00 
12/29,0.00 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.01 ,-0.01 ,0.05 ,0.05 ,0.06 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.01 ,0.02 
15/1/5,0.00 ,0.00 ,0.02 ,0.05 ,0.03 ,0.05 ,0.00 ,0.00 ,0.01 ,-0.01 ,0.03 ,0.04 ,-0.01 ,0.03 ,0.11 ,0.08 ,0.03 ,0.00 ,0.00 ,0.03 ,0.00 ,0.02 ,0.02 ,0.00 ,0.01 
1/12,0.02 ,0.00 ,0.08 ,0.02 ,0.00 ,0.03 ,0.09 ,0.04 ,0.01 ,0.00 ,0.00 ,0.06 ,0.00 ,0.01 ,0.05 ,0.06 ,0.06 ,0.00 ,0.00 ,0.11 ,0.00 ,0.02 ,0.01 ,0.05 ,0.00 
1/19,0.00 ,0.00 ,0.01 ,0.00 ,0.06 ,0.02 ,0.01 ,0.11 ,0.03 ,0.01 ,0.00 ,0.05 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.02 ,0.00 ,0.00 
1/26,0.02 ,0.00 ,0.05 ,0.02 ,0.02 ,0.09 ,0.07 ,0.01 ,0.03 ,0.04 ,-0.01 ,0.06 ,0.00 ,0.00 ,0.07 ,0.13 ,0.06 ,0.00 ,0.08 ,0.10 ,0.03 ,0.04 ,0.03 ,0.00 ,0.05 
2/2,0.09 ,0.08 ,0.10 ,0.07 ,0.09 ,0.07 ,0.03 ,0.08 ,0.12 ,0.00 ,0.02 ,0.06 ,0.03 ,0.01 ,0.06 ,0.06 ,0.02 ,0.02 ,0.04 ,0.01 ,0.04 ,0.06 ,0.03 ,0.04 ,0.04 
2/9,0.03 ,0.00 ,0.02 ,0.07 ,0.11 ,-0.01 ,0.15 ,0.05 ,0.11 ,0.08 ,0.12 ,0.10 ,0.04 ,0.08 ,0.04 ,0.31 ,0.10 ,0.04 ,0.03 ,0.04 ,0.05 ,0.20 ,0.06 ,0.05 ,0.08 
2/23,0.04 ,0.01 ,0.11 ,0.03 ,0.14 ,0.10 ,0.20 ,0.07 ,0.07 ,0.06 ,0.09 ,0.04 ,0.06 ,0.00 ,0.11 ,0.17 ,0.07 ,0.05 ,0.01 ,0.08 ,0.03 ,0.17 ,0.05 ,0.00 ,0.01 
3/2,0.07 ,0.15 ,0.12 ,0.09 ,0.04 ,0.06 ,0.14 ,0.09 ,0.16 ,0.01 ,0.14 ,0.00 ,0.04 ,0.02 ,0.22 ,0.23 ,0.29 ,0.08 ,0.08 ,0.01 ,0.09 ,0.05 ,0.07 ,0.07 ,0.02 
3/9,0.12 ,0.24 ,0.19 ,0.21 ,0.16 ,0.27 ,0.09 ,0.17 ,0.13 ,0.09 ,0.07 ,0.04 ,0.11 ,0.07 ,0.13 ,0.12 ,0.12 ,0.15 ,0.10 ,0.12 ,0.20 ,0.14 ,0.06 ,0.15 ,0.08 
3/16,0.07 ,0.04 ,0.18 ,0.26 ,0.01 ,0.08 ,0.27 ,0.26 ,0.16 ,0.12 ,0.16 ,0.18 ,0.02 ,0.06 ,0.20 ,0.17 ,0.20 ,0.10 ,0.09 ,0.27 ,0.28 ,0.09 ,0.09 ,0.26 ,0.03 
3/23,0.17 ,0.14 ,0.17 ,0.06 ,0.12 ,0.15 ,0.22 ,0.14 ,0.16 ,0.15 ,0.03 ,0.14 ,0.16 ,0.10 ,0.13 ,0.32 ,0.24 ,0.02 ,0.25 ,0.24 ,0.08 ,0.28 ,0.10 ,0.24 ,0.04 
3/30,0.05 ,0.03 ,0.15 ,0.07 ,0.03 ,0.12 ,0.16 ,0.18 ,0.18 ,0.09 ,0.13 ,0.08 ,0.04 ,0.00 ,0.06 ,0.23 ,0.26 ,0.15 ,0.24 ,0.19 ,0.19 ,0.19 ,0.05 ,0.18 ,0.04 
4/6,0.14 ,0.04 ,0.18 ,0.04 ,0.16 ,0.21 ,0.07 ,0.06 ,0.19 ,0.03 ,0.15 ,0.03 ,0.07 ,0.16 ,0.15 ,0.08 ,0.15 ,0.14 ,0.22 ,0.05 ,0.19 ,0.23 ,0.17 ,0.08 ,0.04 
4/13,0.01 ,0.12 ,0.19 ,0.06 ,0.05 ,0.05 ,0.06 ,0.15 ,0.13 ,0.09 ,0.15 ,0.06 ,0.02 ,0.08 ,0.11 ,0.15 ,0.16 ,0.10 ,0.14 ,0.08 ,0.12 ,0.25 ,0.06 ,0.14 ,0.08 
4/20,0.03 ,0.04 ,0.06 ,0.18 ,0.13 ,0.21 ,0.07 ,0.11 ,0.20 ,0.10 ,0.15 ,0.01 ,0.02 ,0.17 ,0.13 ,0.12 ,0.07 ,0.17 ,0.11 ,0.03 ,0.17 ,0.13 ,0.09 ,0.18 ,0.14 
4/27,0.14 ,0.06 ,0.03 ,0.07 ,0.02 ,0.12 ,0.10 ,0.09 ,0.15 ,0.05 ,0.04 ,0.00 ,0.07 ,0.10 ,0.14 ,0.27 ,0.15 ,0.23 ,0.10 ,0.04 ,0.08 ,0.16 ,0.06 ,0.04 ,0.03 
5/4,0.06 ,0.02 ,0.02 ,0.04 ,0.13 ,0.02 ,0.02 ,0.00 ,0.06 ,0.04 ,0.13 ,0.01 ,0.02 ,0.00 ,0.12 ,0.04 ,0.07 ,0.12 ,0.04 ,0.06 ,0.04 ,0.06 ,0.04 ,0.11 ,0.07 
5/11,0.07 ,0.05 ,0.13 ,0.00 ,0.20 ,0.05 ,0.14 ,0.04 ,0.23 ,0.08 ,0.02 ,0.00 ,0.13 ,0.13 ,0.10 ,0.10 ,0.25 ,0.03 ,0.21 ,0.10 ,0.18 ,0.05 ,0.02 ,0.10 ,0.29 
5/18,0.04 ,0.03 ,0.10 ,0.01 ,0.12 ,0.13 ,0.08 ,0.19 ,0.05 ,0.01 ,0.00 ,0.06 ,0.11 ,0.15 ,0.21 ,0.09 ,0.21 ,0.05 ,0.15 ,0.00 ,0.04 ,0.13 ,0.18 ,0.07 ,0.13 
5/25,0.07 ,0.06 ,0.09 ,0.10 ,0.06 ,0.07 ,0.05 ,0.03 ,0.11 ,0.07 ,0.11 ,0.00 ,0.06 ,0.03 ,0.16 ,0.03 ,0.12 ,0.05 ,0.16 ,0.00 ,0.08 ,0.07 ,0.10 ,0.08 ,0.15 
6/1,0.15 ,0.03 ,0.05 ,0.20 ,0.04 ,0.08 ,0.10 ,0.05 ,0.20 ,0.07 ,0.04 ,0.05 ,0.15 ,0.02 ,0.25 ,0.21 ,0.15 ,0.14 ,0.05 ,0.03 ,0.11 ,0.11 ,0.10 ,0.10 ,0.26 
6/8,0.10 ,0.04 ,0.00 ,0.05 ,0.09 ,0.17 ,0.07 ,0.00 ,0.10 ,0.03 ,0.06 ,0.06 ,0.05 ,0.17 ,0.11 ,0.13 ,0.15 ,0.03 ,0.15 ,0.03 ,0.11 ,0.12 ,0.08 ,0.14 ,0.16 
6/15,0.02 ,0.07 ,0.07 ,0.00 ,0.17 ,0.05 ,0.03 ,0.05 ,0.16 ,0.10 ,0.12 ,0.02 ,0.08 ,0.02 ,0.10 ,0.04 ,0.10 ,0.10 ,0.15 ,0.06 ,0.02 ,0.12 ,0.03 ,0.12 ,0.14 
6/22,0.12 ,0.19 ,0.11 ,0.19 ,0.13 ,0.18 ,0.09 ,0.11 ,0.15 ,0.12 ,0.00 ,0.05 ,0.05 ,0.11 ,0.10 ,0.16 ,0.16 ,0.19 ,0.24 ,0.21 ,0.07 ,0.05 ,0.05 ,0.08 ,0.14 
6/29,0.10 ,0.15 ,0.07 ,0.11 ,0.21 ,0.09 ,0.12 ,0.07 ,0.09 ,0.07 ,0.02 ,0.10 ,0.07 ,0.14 ,0.11 ,0.12 ,0.26 ,0.15 ,0.09 ,0.04 ,0.13 ,0.10 ,0.08 ,0.05 ,0.10 
7/6,0.02 ,0.07 ,0.09 ,0.13 ,0.07 ,0.07 ,0.10 ,0.14 ,0.13 ,0.08 ,0.02 ,0.07 ,0.24 ,0.06 ,0.14 ,0.25 ,0.25 ,0.16 ,0.09 ,0.10 ,0.15 ,0.11 ,0.11 ,0.08 ,0.17 
7/13,0.12 ,0.22 ,0.04 ,0.14 ,0.10 ,0.20 ,0.01 ,0.11 ,0.09 ,0.06 ,0.02 ,0.03 ,0.01 ,0.08 ,0.22 ,0.09 ,0.13 ,0.18 ,0.20 ,0.11 ,0.19 ,0.10 ,0.06 ,0.16 ,0.12 
7/20,0.10 ,0.20 ,0.11 ,0.10 ,0.16 ,0.10 ,0.10 ,0.19 ,0.22 ,0.03 ,0.06 ,0.07 ,0.10 ,0.15 ,0.28 ,0.22 ,0.22 ,0.19 ,0.13 ,0.17 ,0.16 ,0.26 ,0.21 ,0.22 ,0.16 
7/27,0.09 ,0.15 ,0.17 ,0.16 ,0.07 ,0.08 ,0.04 ,0.08 ,0.12 ,0.01 ,0.11 ,0.02 ,0.04 ,0.03 ,0.19 ,0.19 ,0.18 ,0.11 ,0.17 ,0.03 ,0.09 ,0.26 ,0.03 ,0.21 ,0.11 
8/3,0.15 ,0.13 ,0.03 ,0.09 ,0.14 ,0.11 ,0.12 ,0.16 ,0.19 ,0.01 ,0.05 ,0.00 ,0.02 ,0.09 ,0.18 ,0.11 ,0.02 ,0.18 ,0.11 ,0.00 ,0.09 ,0.20 ,0.02 ,0.07 ,0.14 
8/10,0.23 ,0.09 ,0.22 ,0.24 ,0.04 ,0.05 ,0.13 ,0.09 ,0.21 ,0.01 ,0.15 ,0.03 ,0.09 ,0.04 ,0.24 ,0.09 ,0.13 ,0.10 ,0.17 ,0.00 ,0.14 ,0.08 ,0.14 ,0.09 ,0.26 
8/17,0.22 ,0.08 ,0.19 ,0.17 ,0.05 ,0.08 ,0.00 ,0.03 ,0.27 ,0.00 ,0.10 ,0.00 ,0.01 ,0.06 ,0.18 ,0.13 ,0.21 ,0.10 ,0.21 ,0.22 ,0.21 ,0.25 ,0.05 ,0.15 ,0.26 
8/24,0.07 ,0.11 ,0.20 ,0.16 ,0.00 ,0.06 ,0.04 ,0.19 ,0.19 ,0.07 ,0.05 ,0.00 ,0.26 ,0.15 ,0.10 ,0.00 ,0.10 ,0.14 ,0.17 ,0.04 ,0.25 ,0.21 ,0.07 ,0.13 ,0.13 
8/31,0.20 ,0.04 ,0.10 ,0.11 ,0.01 ,0.10 ,0.24 ,0.20 ,0.28 ,0.02 ,0.02 ,0.10 ,0.18 ,0.01 ,0.13 ,0.17 ,0.17 ,0.23 ,0.21 ,0.13 ,0.22 ,0.11 ,0.15 ,0.10 ,0.25 
9/7,0.24 ,0.10 ,0.19 ,0.21 ,0.02 ,0.15 ,0.11 ,0.19 ,0.27 ,0.06 ,0.15 ,0.02 ,0.08 ,0.13 ,0.07 ,0.15 ,0.16 ,0.14 ,0.17 ,0.05 ,0.21 ,0.17 ,0.12 ,0.15 ,0.22 
9/14,0.12 ,0.06 ,0.18 ,0.24 ,0.14 ,0.15 ,0.14 ,0.21 ,0.25 ,0.13 ,0.18 ,0.17 ,0.00 ,0.02 ,0.13 ,0.07 ,0.17 ,0.03 ,0.26 ,0.06 ,0.25 ,0.24 ,0.08 ,0.20 ,0.16 
9/21,0.17 ,0.01 ,0.18 ,0.18 ,0.17 ,0.08 ,0.07 ,0.16 ,0.19 ,0.14 ,0.23 ,0.06 ,0.00 ,0.14 ,0.18 ,0.10 ,0.18 ,0.12 ,0.21 ,0.21 ,0.25 ,0.04 ,0.12 ,0.14 ,0.22 
10/5,0.23 ,0.01 ,0.19 ,0.24 ,0.28 ,0.22 ,0.16 ,0.20 ,0.23 ,0.13 ,0.09 ,0.06 ,0.13 ,0.15 ,0.25 ,0.10 ,0.27 ,0.12 ,0.22 ,0.29 ,0.05 ,0.17 ,0.05 ,0.24 ,0.27 
10/12,0.11 ,0.17 ,0.15 ,0.11 ,0.12 ,0.14 ,0.12 ,0.16 ,0.22 ,0.10 ,0.11 ,0.00 ,0.03 ,0.05 ,0.20 ,0.13 ,0.25 ,0.09 ,0.10 ,0.09 ,0.13 ,0.11 ,0.22 ,0.24 ,0.29 
10/19,0.16 ,0.06 ,0.18 ,0.21 ,0.19 ,0.08 ,0.05 ,0.07 ,0.19 ,0.03 ,0.12 ,0.01 ,0.10 ,0.09 ,0.19 ,0.13 ,0.22 ,0.12 ,0.17 ,0.00 ,0.13 ,0.15 ,0.21 ,0.23 ,0.10 
10/26,0.12 ,0.08 ,0.11 ,0.03 ,0.14 ,0.08 ,0.04 ,0.24 ,0.21 ,0.14 ,0.18 ,0.10 ,0.05 ,0.06 ,0.16 ,0.09 ,0.30 ,0.07 ,0.15 ,0.17 ,0.37 ,0.28 ,0.17 ,0.16 ,0.13 
11/2,0.13 ,0.02 ,0.16 ,0.10 ,0.10 ,0.11 ,0.07 ,0.26 ,0.08 ,0.01 ,0.07 ,0.00 ,0.14 ,0.20 ,0.16 ,0.06 ,0.22 ,0.17 ,0.14 ,0.06 ,0.34 ,0.08 ,0.11 ,0.15 ,0.21 
11/9,0.17 ,0.03 ,0.24 ,0.11 ,0.02 ,0.13 ,0.13 ,0.20 ,0.10 ,0.02 ,0.07 ,0.03 ,0.14 ,0.13 ,0.12 ,0.03 ,0.13 ,0.11 ,0.01 ,0.18 ,0.23 ,0.14 ,0.28 ,0.20 ,0.22 
11/16,0.20 ,0.02 ,0.12 ,0.11 ,0.00 ,0.08 ,0.21 ,0.05 ,0.14 ,0.02 ,0.00 ,0.03 ,0.08 ,0.03 ,0.18 ,0.01 ,0.09 ,0.09 ,0.01 ,0.17 ,0.07 ,0.04 ,0.04 ,0.20 ,0.08 
11/23,0.06 ,0.08 ,0.10 ,0.09 ,0.00 ,0.12 ,0.08 ,0.17 ,0.24 ,0.07 ,0.09 ,0.17 ,0.03 ,0.01 ,0.09 ,0.06 ,0.11 ,0.14 ,0.08 ,0.02 ,0.08 ,0.05 ,0.13 ,0.11 ,0.24 
